date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2023-11-11 12:00:00,1048690,F. Lechner,Eintracht Braunschweig,VfL Osnabruck,3,2,home,5,1,0.4,0.0,0.8,3.0
2023-11-11 12:00:00,1048687,D. Aytekin,Holstein Kiel,Hamburger SV,4,2,home,6,2,1.4,8.0,1.8,11.0
2023-11-11 12:00:00,1048686,N. Winter,SC Paderborn 07,FC Nurnberg,1,3,away,4,-2,2.4,10.0,1.6,9.0
2023-11-11 19:30:00,1048684,M. Bacher,Hertha Berlin,Karlsruher SC,2,2,draw,4,0,1.4,7.0,1.0,4.0
2023-11-12 12:30:00,1048688,F. Badstübner,FC Magdeburg,Hansa Rostock,1,2,away,3,-1,0.6,1.0,0.4,4.0
2023-11-12 12:30:00,1048691,T. Reichel,SV Wehen,FC Kaiserslautern,2,1,home,3,1,1.4,10.0,2.2,5.0
2023-11-12 12:30:00,1048689,M. Burda,SpVgg Greuther Furth,Fortuna Dusseldorf,1,0,home,1,1,1.6,10.0,2.0,7.0
2023-11-24 17:30:00,1048692,M. Burda,Hamburger SV,Eintracht Braunschweig,2,1,home,3,1,2.0,8.0,1.0,3.0
2023-11-24 17:30:00,1048696,T. Gerach,Hannover 96,Hertha Berlin,2,2,draw,4,0,1.4,7.0,1.6,8.0
2023-11-25 12:00:00,1048698,R. Braun,Hansa Rostock,FC St. Pauli,2,3,away,5,-1,0.6,4.0,2.2,11.0
2023-11-25 12:00:00,1048699,F. Heft,SV Elversberg,SC Paderborn 07,4,1,home,5,3,1.6,10.0,2.0,7.0
2023-11-25 12:00:00,1048700,R. Kampka,VfL Osnabruck,FC Magdeburg,0,2,away,2,-2,0.8,2.0,0.8,1.0
2023-11-25 19:30:00,1048693,R. Schröder,Fortuna Dusseldorf,FC Schalke 04,5,3,home,8,2,2.0,7.0,1.4,6.0
2023-11-26 12:30:00,1048695,B. Dankert,FC Kaiserslautern,Holstein Kiel,0,3,away,3,-3,2.0,4.0,1.8,8.0
2023-11-26 12:30:00,1048694,H. Osmers,Karlsruher SC,FC Nurnberg,4,1,home,5,3,1.4,5.0,2.0,9.0
2023-11-26 12:30:00,1048697,F. Willenborg,SpVgg Greuther Furth,SV Wehen,2,0,home,2,2,1.6,12.0,1.8,13.0
2023-12-01 17:30:00,1048701,T. Bauer,FC Schalke 04,VfL Osnabruck,4,0,home,4,4,1.8,6.0,0.6,1.0
2023-12-01 17:30:00,1048703,F. Zwayer,FC St. Pauli,Hamburger SV,2,2,draw,4,0,1.8,11.0,2.2,10.0
2023-12-02 12:00:00,1048709,D. Schlager,Eintracht Braunschweig,SpVgg Greuther Furth,0,1,away,1,-1,1.0,3.0,1.8,12.0
2023-12-02 12:00:00,1048708,R. Hempel,FC Nurnberg,Fortuna Dusseldorf,0,5,away,5,-5,2.0,9.0,2.8,9.0
2023-12-02 12:00:00,1048706,P. Alt,Holstein Kiel,SV Wehen,3,2,home,5,1,2.2,10.0,1.6,12.0
2023-12-02 19:30:00,1048707,F. Exner,FC Magdeburg,FC Kaiserslautern,4,1,home,5,3,1.0,3.0,1.4,1.0
2023-12-03 12:30:00,1048702,S. Jablonski,Hertha Berlin,SV Elversberg,5,1,home,6,4,1.6,6.0,2.2,12.0
2023-12-03 12:30:00,1048705,D. Aytekin,Karlsruher SC,Hansa Rostock,2,2,draw,4,0,2.0,7.0,1.0,4.0
2023-12-03 12:30:00,1048704,W. Haslberger,SC Paderborn 07,Hannover 96,1,0,home,1,1,1.6,4.0,1.6,8.0
2023-12-08 17:30:00,1048713,F. Lechner,Hannover 96,Karlsruher SC,2,2,draw,4,0,1.2,5.0,1.8,5.0
2023-12-08 17:30:00,1048718,M. Burda,SV Wehen,Eintracht Braunschweig,1,3,away,4,-2,1.6,9.0,1.0,3.0
2023-12-09 12:00:00,1048712,H. Osmers,FC Kaiserslautern,Hertha Berlin,1,2,away,3,-1,1.0,1.0,2.4,9.0
2023-12-09 12:00:00,1048710,C. Dingert,Hamburger SV,SC Paderborn 07,1,2,away,3,-1,2.2,8.0,1.4,6.0
2023-12-09 12:00:00,1048714,F. Heft,SpVgg Greuther Furth,FC Magdeburg,1,1,draw,2,0,2.0,15.0,1.6,6.0
2023-12-09 19:30:00,1048717,P. Schwengers,VfL Osnabruck,FC St. Pauli,1,1,draw,2,0,0.6,1.0,1.8,11.0
2023-12-10 12:30:00,1048711,F. Badstübner,Fortuna Dusseldorf,Holstein Kiel,0,1,away,1,-1,3.0,9.0,2.2,10.0
2023-12-10 12:30:00,1048715,N. Winter,Hansa Rostock,FC Schalke 04,0,2,away,2,-2,1.2,5.0,2.6,9.0
2023-12-10 12:30:00,1048716,R. Hartmann,SV Elversberg,FC Nurnberg,0,1,away,1,-1,1.8,9.0,1.4,6.0
2023-12-15 17:30:00,1048719,D. Siebert,FC Schalke 04,SpVgg Greuther Furth,2,2,draw,4,0,2.4,9.0,1.4,13.0
2023-12-15 17:30:00,1048722,W. Haslberger,SC Paderborn 07,Hansa Rostock,3,0,home,3,3,1.6,9.0,1.2,5.0
2023-12-16 12:00:00,1048725,M. Bacher,FC Magdeburg,Fortuna Dusseldorf,2,3,away,5,-1,1.6,7.0,2.2,6.0
2023-12-16 12:00:00,1048726,T. Reichel,FC Nurnberg,Hamburger SV,0,2,away,2,-2,1.2,6.0,1.8,7.0
2023-12-16 12:00:00,1048720,P. Ittrich,Hertha Berlin,VfL Osnabruck,0,0,draw,0,0,2.2,9.0,0.8,2.0
2023-12-16 19:30:00,1048724,F. Exner,Holstein Kiel,Hannover 96,3,0,home,3,3,2.4,13.0,1.2,6.0
2023-12-17 12:30:00,1048727,A. Aarnink,Eintracht Braunschweig,FC Kaiserslautern,2,1,home,3,1,1.4,6.0,0.6,0.0
