date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2022-10-02 11:30:00,872951,R. Schröder,FC Kaiserslautern,Eintracht Braunschweig,1,1,1,2,0
2022-10-02 11:30:00,872949,R. Kampka,Karlsruher SC,FC Nurnberg,3,0,0,3,3
2022-10-07 16:30:00,872959,M. Bacher,Jahn Regensburg,SpVgg Greuther Furth,2,2,1,4,0
2022-10-07 16:30:00,872952,T. Stieler,Arminia Bielefeld,Karlsruher SC,1,2,2,3,-1
2022-10-08 11:00:00,872960,S. Stegemann,Eintracht Braunschweig,FC St. Pauli,2,1,0,3,1
2022-10-08 11:00:00,872954,M. Burda,SV Darmstadt 98,Fortuna Dusseldorf,1,0,0,1,1
2022-10-08 11:00:00,872957,F. Zwayer,Hansa Rostock,SC Paderborn 07,0,3,2,3,-3
2022-10-08 18:30:00,872953,R. Hartmann,Hamburger SV,FC Kaiserslautern,1,1,1,2,0
2022-10-09 11:30:00,872956,T. Gerach,FC Nurnberg,Holstein Kiel,2,3,2,5,-1
2022-10-09 11:30:00,872955,C. Dingert,FC Heidenheim,Hannover 96,2,1,0,3,1
2022-10-09 11:30:00,872958,F. Exner,SV Sandhausen,FC Magdeburg,1,0,0,1,1
2022-10-14 16:30:00,872961,N. Winter,SpVgg Greuther Furth,Hansa Rostock,2,2,1,4,0
2022-10-14 16:30:00,872962,D. Aytekin,FC St. Pauli,Hamburger SV,3,0,0,3,3
2022-10-15 11:00:00,872965,W. Haslberger,Fortuna Dusseldorf,FC Nurnberg,0,1,2,1,-1
2022-10-15 11:00:00,872968,M. Petersen,FC Magdeburg,Eintracht Braunschweig,0,2,2,2,-2
2022-10-15 11:00:00,872967,A. Sather,Karlsruher SC,SV Darmstadt 98,1,2,2,3,-1
2022-10-15 18:30:00,872966,M. Jöllenbeck,Hannover 96,Arminia Bielefeld,2,0,0,2,2
2022-10-16 11:30:00,872969,M. Thomsen,FC Kaiserslautern,Jahn Regensburg,0,3,2,3,-3
2022-10-16 11:30:00,872963,T. Reichel,SC Paderborn 07,SV Sandhausen,3,0,0,3,3
2022-10-16 11:30:00,872964,P. Alt,Holstein Kiel,FC Heidenheim,3,1,0,4,2
2022-10-21 16:30:00,872972,C. Dingert,SV Darmstadt 98,Holstein Kiel,1,1,1,2,0
2022-10-21 16:30:00,872976,R. Kampka,Hansa Rostock,FC Kaiserslautern,0,2,2,2,-2
2022-10-22 11:00:00,872974,F. Zwayer,FC Nurnberg,Hannover 96,0,0,1,0,0
2022-10-22 11:00:00,872977,A. Aarnink,Jahn Regensburg,SV Sandhausen,2,1,0,3,1
2022-10-22 11:00:00,872978,F. Lechner,Eintracht Braunschweig,SC Paderborn 07,0,0,1,0,0
2022-10-22 18:30:00,872970,B. Cortus,Arminia Bielefeld,FC St. Pauli,2,0,0,2,2
2022-10-23 11:30:00,872975,F. Heft,Karlsruher SC,Fortuna Dusseldorf,0,2,2,2,-2
2022-10-23 11:30:00,872971,H. Osmers,Hamburger SV,FC Magdeburg,2,3,2,5,-1
2022-10-23 11:30:00,872973,R. Braun,FC Heidenheim,SpVgg Greuther Furth,3,1,0,4,2
2022-10-28 16:30:00,872979,F. Brych,SpVgg Greuther Furth,Arminia Bielefeld,1,0,0,1,1
2022-10-28 16:30:00,872986,M. Thomsen,FC Magdeburg,FC Heidenheim,1,1,1,2,0
2022-10-29 11:00:00,872985,F. Exner,Jahn Regensburg,Hansa Rostock,0,3,2,3,-3
2022-10-29 11:00:00,872982,R. Schröder,Holstein Kiel,Fortuna Dusseldorf,1,2,2,3,-1
2022-10-29 11:00:00,872987,M. Bacher,FC Kaiserslautern,FC Nurnberg,0,0,1,0,0
2022-10-29 18:30:00,872980,B. Dankert,FC St. Pauli,SV Darmstadt 98,1,1,1,2,0
2022-10-30 12:30:00,872984,A. Sather,SV Sandhausen,Eintracht Braunschweig,2,2,1,4,0
2022-10-30 12:30:00,872981,F. Badstübner,SC Paderborn 07,Hamburger SV,2,3,2,5,-1
2022-10-30 12:30:00,872983,S. Waschitzki,Hannover 96,Karlsruher SC,1,0,0,1,1
2022-11-04 17:30:00,872990,B. Cortus,SV Darmstadt 98,Hannover 96,1,0,0,1,1
2022-11-04 17:30:00,872995,R. Hartmann,Hansa Rostock,SV Sandhausen,0,1,2,1,-1
2022-11-05 12:00:00,872993,F. Willenborg,Fortuna Dusseldorf,FC St. Pauli,1,0,0,1,1
2022-11-05 12:00:00,872991,T. Gerach,FC Heidenheim,SC Paderborn 07,3,0,0,3,3
2022-11-05 12:00:00,872994,M. Burda,Karlsruher SC,Holstein Kiel,1,4,2,5,-3
2022-11-05 19:30:00,872988,P. Alt,Arminia Bielefeld,FC Kaiserslautern,2,3,2,5,-1
2022-11-06 12:30:00,872996,S. Waschitzki,Eintracht Braunschweig,SpVgg Greuther Furth,0,1,2,1,-1
2022-11-06 12:30:00,872989,S. Stegemann,Hamburger SV,Jahn Regensburg,3,1,0,4,2
2022-11-06 12:30:00,872992,N. Winter,FC Nurnberg,FC Magdeburg,1,2,2,3,-1
2022-11-08 17:30:00,873000,F. Exner,Hannover 96,Fortuna Dusseldorf,2,0,0,2,2
2022-11-08 17:30:00,872999,M. Thomsen,SC Paderborn 07,Arminia Bielefeld,0,2,2,2,-2
2022-11-08 17:30:00,872998,A. Sather,FC St. Pauli,Holstein Kiel,0,0,1,0,0
2022-11-08 17:30:00,873005,R. Schröder,FC Kaiserslautern,Karlsruher SC,2,0,0,2,2
2022-11-09 17:30:00,873003,M. Petersen,Jahn Regensburg,Eintracht Braunschweig,1,1,1,2,0
2022-11-09 17:30:00,872997,M. Jöllenbeck,SpVgg Greuther Furth,Hamburger SV,1,0,0,1,1
