date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2025-02-02 16:15:00,1213923,J. Pignard,Angers,Le Havre,1,1,draw,2,0,1.4,9.0,0.6,1.0
2025-02-02 16:15:00,1213922,B. Millot,Reims,Nantes,1,2,away,3,-1,1.0,3.0,1.2,4.0
2025-02-02 16:15:00,1213925,S. Frappart,Rennes,Strasbourg,1,0,home,1,1,1.6,3.0,2.2,13.0
2025-02-02 19:45:00,1213918,J. Brisard,Marseille,Lyon,3,2,home,5,1,1.8,8.0,0.8,5.0
2025-02-07 18:00:00,1213928,J. Pignard,Nantes,Stade Brestois 29,0,2,away,2,-2,1.4,7.0,1.4,9.0
2025-02-07 20:05:00,1213932,C. Turpin,Paris Saint Germain,Monaco,4,1,home,5,3,2.8,13.0,2.4,7.0
2025-02-08 16:00:00,1213935,R. Lissorgue,Nice,Lens,2,0,home,2,2,2.2,10.0,1.2,9.0
2025-02-08 18:00:00,1213930,T. Léonard,Lille,Le Havre,1,2,away,3,-1,1.6,8.0,0.8,2.0
2025-02-08 20:05:00,1213931,M. Vernice,Saint Etienne,Rennes,0,2,away,2,-2,1.4,5.0,1.4,3.0
2025-02-09 14:00:00,1213933,F. Letexier,Lyon,Reims,4,0,home,4,4,1.0,5.0,1.2,2.0
2025-02-09 16:15:00,1213927,J. Brisard,Auxerre,Toulouse,2,2,draw,4,0,0.8,2.0,0.8,5.0
2025-02-09 16:15:00,1213929,J. Stinat,Strasbourg,Montpellier,2,0,home,2,2,1.6,10.0,1.0,6.0
2025-02-09 19:45:00,1213934,H. Ben El Hadj,Angers,Marseille,0,2,away,2,-2,1.6,10.0,2.2,10.0
2025-02-14 19:45:00,1213940,B. Dechepy,Stade Brestois 29,Auxerre,2,2,draw,4,0,1.8,12.0,1.0,3.0
2025-02-15 16:00:00,1213937,A. Kherradji,Marseille,Saint Etienne,5,1,home,6,4,1.6,10.0,0.8,2.0
2025-02-15 18:00:00,1213944,T. Léonard,Monaco,Nantes,7,1,home,8,6,2.2,7.0,1.2,6.0
2025-02-15 20:05:00,1213936,W. Delajod,Toulouse,Paris Saint Germain,0,1,away,1,-1,1.0,3.0,2.8,13.0
2025-02-16 14:00:00,1213938,M. Bollengier,Montpellier,Lyon,1,4,away,5,-3,1.0,6.0,1.6,5.0
2025-02-16 16:15:00,1213943,S. Frappart,Le Havre,Nice,1,3,away,4,-2,1.0,5.0,2.0,10.0
2025-02-16 16:15:00,1213939,B. Millot,Lens,Strasbourg,0,2,away,2,-2,1.2,9.0,1.4,10.0
2025-02-16 16:15:00,1213942,F. Batta,Reims,Angers,0,1,away,1,-1,1.0,2.0,1.2,7.0
2025-02-16 19:45:00,1213941,R. Lissorgue,Rennes,Lille,0,2,away,2,-2,1.4,6.0,1.6,7.0
2025-02-21 19:45:00,1213945,M. Bollengier,Rennes,Reims,1,0,home,1,1,1.2,6.0,0.6,2.0
2025-02-22 16:00:00,1213947,B. Bastien,Lille,Monaco,2,1,home,3,1,2.0,9.0,3.2,9.0
2025-02-22 18:00:00,1213950,B. Dechepy,Saint Etienne,Angers,3,3,draw,6,0,0.8,2.0,0.8,7.0
2025-02-22 20:05:00,1213951,J. Stinat,Auxerre,Marseille,3,0,home,3,3,1.4,3.0,2.2,10.0
2025-02-23 14:00:00,1213949,J. Brisard,Nantes,Lens,3,1,home,4,2,1.0,5.0,0.8,6.0
2025-02-23 16:15:00,1213946,F. Letexier,Le Havre,Toulouse,1,4,away,5,-3,1.0,5.0,0.8,3.0
2025-02-23 16:15:00,1213952,W. Delajod,Nice,Montpellier,2,0,home,2,2,1.8,10.0,1.0,6.0
2025-02-23 16:15:00,1213948,C. Turpin,Strasbourg,Stade Brestois 29,0,0,draw,0,0,1.4,10.0,1.8,10.0
2025-02-23 19:45:00,1213953,E. Wattellier,Lyon,Paris Saint Germain,2,3,away,5,-1,2.2,8.0,2.6,13.0
2025-02-28 19:45:00,1213961,E. Wattellier,Monaco,Reims,3,0,home,3,3,3.2,9.0,0.4,1.0
2025-03-01 16:00:00,1213958,J. Brisard,Saint Etienne,Nice,1,3,away,4,-2,1.2,2.0,2.0,13.0
2025-03-01 18:00:00,1213959,J. Pignard,Lens,Le Havre,3,4,away,7,-1,0.8,6.0,1.0,4.0
2025-03-01 20:05:00,1213954,F. Letexier,Paris Saint Germain,Lille,4,1,home,5,3,2.8,13.0,2.0,9.0
2025-03-02 14:00:00,1213956,B. Millot,Lyon,Stade Brestois 29,2,1,home,3,1,2.6,7.0,1.4,8.0
2025-03-02 16:15:00,1213962,J. Stinat,Angers,Toulouse,0,4,away,4,-4,1.0,5.0,1.6,5.0
2025-03-02 16:15:00,1213960,M. Vernice,Auxerre,Strasbourg,0,1,away,1,-1,2.0,6.0,1.2,10.0
2025-03-02 16:15:00,1213957,F. Batta,Montpellier,Rennes,0,4,away,4,-4,0.6,3.0,1.2,9.0
2025-03-02 19:45:00,1213955,S. Frappart,Marseille,Nantes,2,0,home,2,2,2.0,9.0,1.4,7.0
